name,model,price
Mercedes`Benz GLA`Class,GLA200 Sport Executive (A),"¥199,000 "
Mercedes`Benz GLA`Class,GLA200 AMG Line (A),"¥202,000 "
Mercedes`Benz GLA`Class,GLA200 AMG Line Executive (A),"¥204,000 "
Mercedes`Benz GLA`Class,GLA200 AMG Line Premium (A),"¥209,000 "
Mercedes`Benz GLA`Class,GLA200 AMG Line Premium Plus (A),"¥216,000 "
Mercedes`Benz GLA`Class,GLA35 AMG 4MATIC Premium Plus (A),"¥298,000 "
Mercedes`Benz GLA`Class,GLA45 S AMG 4MATIC+ Plus (A),"¥355,000 "
Mercedes`Benz E`Class Saloon,E200 Avantgarde (A),"$316,888$28,200 /yr"
Mercedes`Benz E`Class Saloon,E200 Exclusive (A),"$334,888$29,900 /yr"
Mercedes`Benz E`Class Saloon,E200 AMG Line (A),"¥344,888 "
Mercedes`Benz E`Class Saloon,E300 Avantgarde (A),"$352,888$31,100 /yr"
Mercedes`Benz E`Class Saloon,E300 Exclusive (A),"¥362,888 "
Volkswagen ID.4 Electric,1st Edition (A),"¥194,000 "
Mercedes`Benz GLC`Class,GLC200 (A),"$286,888$25,900 /yr"
Mercedes`Benz GLC`Class,GLC300 4MATIC (A),"$302,888$27,200 /yr"
Mercedes`Benz GLC`Class,GLC43 AMG 4MATIC (A),"¥391,888 "
Mercedes`Benz GLC`Class,GLC63 S AMG 4MATIC+ (A),"¥541,888 "
BMW 2 Series Gran Coupe,218i Luxury (A),"$215,888$19,500 /yr"
BMW 2 Series Gran Coupe,218i M Sport (A),"$218,888$19,800 /yr"
SKODA Octavia Combi Mild Hybrid,1.5 TSI e`TEC Style (A),POA
Opel Grandland,1.2 Turbo Elegance (A),"$126,500$12,000 /yr"
Porsche Macan,PDK 2.0 (A),"$260,888(w/o COE)"
Porsche Macan,S PDK 2.9 (A),"$299,988(w/o COE)"
Porsche Macan,GTS PDK 2.9 (A),"$359,988(w/o COE)"
Honda Freed Hybrid,1.5 G 7`Seater (A),"¥148,000 "
Honda Freed Hybrid,1.5 G Honda Sensing 7`Seater (A),"¥150,000 "
Honda Freed Hybrid,1.5 G Honda Sensing Dual Power Doors  7`Seater (A),"¥151,000 "
Honda Freed Hybrid,1.5 G Honda Sensing Dual Power Doors 7`Seater  (A),"¥151,000 "
